country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Viet Nam,,,,,10,19,9,54,26,59,103,95,47,107,248,639,1126,1089,1168,893,1199,1179,1312,1295,851,485,42,42,227,1257,1025,1085,529,913,554,28,78,50,65,128,116,,,,,281,212,110,220,163,7,99,58,22,298,221,42,8,187,61,152,1021,788,362,1218,862,858,755,577,161,26891
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,25,,7,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,77
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,171,,,1,51,158,85,593,62,252,315,38,66,40,5,258,45,38,23,6,33,7,6,9,,2456
Yemen Arab Republic,,,,,,,,,,,,,,1,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
Yugoslavia,,182,490,525,534,334,352,229,112,285,259,175,397,624,463,549,544,693,681,586,554,486,328,163,156,565,526,594,406,763,495,440,631,577,283,355,344,329,713,331,310,140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17505
Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,166,29,19,9,48,109,34,42,4,136,216,48,13,18,,,,,,,,,,,,6,,,,33,,2,,,0,28,4,2,,,1,66,,,14,43,44,,38,1220
ZAPU (Zimbabwe)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Zimbabwe,1,11,2,8,36,27,8,,61,,15,,16,20,,,,16,,,,2,11,0,2,31,16,4,13,,,15,80,34,26,28,212,29,2,,2,42,60,0,,,,,1,25,3,10,,16,13,25,25,,,,,,,,,,,,,,946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8119,11688,16130,22416,20860,20295,24139,23500,25721,21615,17454,16540,17402,19960,26339,24971,24874,25405,25980,28290,25395,32590,34272,36067,36849,37232,35334,39891,43009,38175,41948,45361,45687,43982,41538,38078,39023,39431,36654,35301,30370,28234,24285,25870,22978,23033,23936,28884,27816,25185,19337,18744,17877,19034,21350,21582,24811,26641,24142,24264,25771,30106,28169,27132,27023,28605,31267,31544,27165,27194,1949864
